original_Nr. Matricola,original_Cod. Cli/For,original_RAGIONESOCIALE,original_Commessa,original_Cod. Dest.,original_H2DES,original_INDIRIZZO,original_CITTA,original_CAP,original_PROVINCIA,original_NAZIONE,original_LONG,original_LAT,original_Fatt-Fitt,lat,lon,formatted,name,housenumber,district,street,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
S39204,1201000346,CI-ESSE DI ANTONELLI GIANCARLO,SO04,,,VIA MARSALA 34,MONZA,20900,MB,Italia,9.263602969,45.57625588,3756,45.5761291,9.2640109,"Via Marsala, 34, 20900 Monza MB, Italia",,34,Molinetto,Via Marsala,20900,San Carlo,Monza,Monza e della Brianza,MB,Lombardia,LOM,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SV1703003,1201000334,STAMPOTECNICA SRL,SV003,,Linea STINGER,VIA SCHIAVONESCA 129,CASELLE DI ALTIVOLE,31030,TV,Italia,11.963049814,45.7339404,-4171,45.7337298,11.9630234,"Via Schiavonesca, 129, 31030 Caselle di Altivole TV, Italia",,129,,Via Schiavonesca,31030,,Caselle di Altivole,Treviso,TV,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SV1703005,1201001574,CORMEC SRL,SV005,1,Linea STINGER,VIA VECCHIO MULINO 1,ANCARANO,64010,TE,Italia,13.746664956,42.85293235,3125,42.836048,13.739392,"Ancarano, ABR, Italia",,,,,,,Ancarano,Teramo,TE,Abruzzo,ABR,Italia,it,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SV1704009,1201001474,O.ME.CA SRL,SV009,,Linea STINGER,VIA BONFANTI 12,COLZATE,24020,BG,Italia,9.856803569,45.81351485,-959,45.8150127,9.8558848,"Via Bonfanti, 12, 24020 Colzate BG, Italia",,12,Pisonda,Via Bonfanti,24020,,Colzate,Bergamo,BG,Lombardia,LOM,Italia,it,1,1,1,,,
XM0803030,1201000789,OFFICINE S. GIACOMO SRL,XM026,,Linea M_ARX,VIA MEUCCI 14/18,VITTORIO VENETO,31029,TV,Italia,12.312177500,45.9525033,1652,,,,,,,,,,,,,,,,,,,,,,
XXXXXXX,1201999999,FPT INDUSTRIE SPA,XX999,,Comm. no Comm.,VIA E.FERMI 18,SANTA MARIA DI SALA,30036,VE,Italia,12.033986200,45.5050934,2493,45.504461,12.019899,"Via Enrico Fermi, 18, 30036 Caselle VE, Italia",,18,Santa Maria Di Sala,Via Enrico Fermi,30036,,Caselle,Venezia,VE,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
XXYY,1201999999,FPT INDUSTRIE SPA,XX999,,Comm. no Comm.,VIA E.FERMI 18,SANTA MARIA DI SALA,30036,VE,Italia,12.033986200,45.5050934,2464,45.504461,12.019899,"Via Enrico Fermi, 18, 30036 Caselle VE, Italia",,18,Santa Maria Di Sala,Via Enrico Fermi,30036,,Caselle,Venezia,VE,Veneto,VEN,Italia,it,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
YM0502020,1201001333,FAIB SPA,YM020,,Linea SINTHESYS,VIA PORTILE 5,BASSANO DEL GRAPPA,36061,VI,Italia,11.747346356,45.75730331,4924,45.7571238,11.7469507,"Via Portile, 5, 36061 Bassano del Grappa VI, Italia",,5,Comune di Cassola,Via Portile,36061,Borgo Vittorio Veneto,Bassano del Grappa,Vicenza,VI,Veneto,VEN,Italia,it,1,1,1,,,
YM0602021,1201001364,OFF.MECC.FRIGERIO SRL,YM021,,Linea SINTHESYS,VIA RAFFAELLO 6/11,CESANA BRIANZA,22030,LC,Italia,9.306011898,45.81386455,-1540,,,,,,,,,,,,,,,,,,,,,,
YM0800017,1201001068,FRANCI SRL,YM017,1,Linea SINTHESYS,VIA ALLE FORNACI 27,VALMADRERA,23968,LC,Italia,9.360226851,45.8403161,3695,45.83823,9.361955,"Via Fornaci, 27, 23968 Valmadrera LC, Italia",,27,Comune di Valmadrera,Via Fornaci,23968,,Valmadrera,Lecco,LC,Lombardia,LOM,Italia,it,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
